timestamp,voltage,current,percentage
1746536611.931238,7.454000473022461,-42.63999938964844,0.6700000166893005
1746536621.5303001,7.457000255584717,-42.84000015258789,0.6800000071525574
1746536631.1461656,7.450000286102295,-42.869998931884766,0.6700000166893005
1746536640.755025,7.447000503540039,-42.650001525878906,0.6700000166893005
1746536650.3642218,7.442000389099121,-42.720001220703125,0.6700000166893005
1746536659.9718971,7.452000141143799,-42.459999084472656,0.6700000166893005
1746536669.581095,7.445000171661377,-41.369998931884766,0.6700000166893005
1746536679.1899107,7.38800048828125,-41.869998931884766,0.6600000262260437
1746536688.7978027,7.022000312805176,-39.560001373291016,0.3799999952316284
1746536698.4046946,6.89300012588501,-39.939998626708984,0.3199999928474426
1746536708.0148363,6.892000198364258,-37.939998626708984,0.28999999165534973
1746536717.6223736,7.01800012588501,-35.720001220703125,0.3499999940395355
1746536727.2313693,7.081000328063965,-35.27000045776367,0.4000000059604645
1746536736.8378005,7.12600040435791,-34.9900016784668,0.4000000059604645
1746536746.447672,7.208000183105469,-34.75,0.4699999988079071
1746536756.0553737,7.369000434875488,-34.9900016784668,0.5699999928474426
1746536765.6624515,7.3550004959106445,-34.5,0.5699999928474426
1746536775.2702284,7.36400032043457,-34.880001068115234,0.5799999833106995
1746536784.879913,7.38800048828125,-35.709999084472656,0.5899999737739563
1746536794.4879935,7.384000301361084,-36.029998779296875,0.5899999737739563
1746536804.0964172,7.390000343322754,-37.0,0.6000000238418579
1746536813.704835,7.389000415802002,-37.439998626708984,0.6000000238418579
1746536823.3106675,7.395000457763672,-37.81999969482422,0.6000000238418579
1746536832.9206073,7.391000270843506,-38.31999969482422,0.6100000143051147
1746536842.5273592,7.396000385284424,-39.310001373291016,0.6100000143051147
1746536852.1369796,7.389000415802002,-39.86000061035156,0.6200000047683716
1746536861.743939,7.386000156402588,-40.689998626708984,0.6200000047683716
1746536871.351653,7.392000198364258,-40.9900016784668,0.6299999952316284
1746536880.9622529,7.38800048828125,-41.86000061035156,0.6299999952316284
1746536890.5681973,7.385000228881836,-42.18000030517578,0.6299999952316284
1746536900.178398,7.380000114440918,-42.5099983215332,0.6299999952316284
