timestamp,mode,armed
1746536610.0637646,MANUAL,False
1746536610.622999,MANUAL,False
1746536611.6228228,MANUAL,False
1746536612.6214027,MANUAL,False
1746536613.6242876,MANUAL,False
1746536614.6292841,MANUAL,False
1746536615.6218941,MANUAL,False
1746536616.621972,MANUAL,False
1746536617.6491942,MANUAL,False
1746536618.623031,MANUAL,False
1746536619.6251266,MANUAL,True
1746536620.6246328,MANUAL,True
1746536621.6236656,MANUAL,True
1746536622.6217759,MANUAL,True
1746536623.6244895,MANUAL,True
1746536624.6241684,MANUAL,True
1746536625.6276307,MANUAL,True
1746536626.6301618,MANUAL,True
1746536627.6245234,MANUAL,True
1746536628.623395,MANUAL,True
1746536629.6538029,MANUAL,True
1746536630.6233761,MANUAL,True
1746536631.6343067,MANUAL,True
1746536632.6234682,MANUAL,True
1746536633.6314166,MANUAL,True
1746536634.6235328,MANUAL,True
1746536635.6222856,MANUAL,True
1746536636.631418,MANUAL,True
1746536637.6343787,MANUAL,True
1746536638.6243114,MANUAL,True
1746536639.6235518,MANUAL,True
1746536640.624364,MANUAL,True
1746536641.669881,MANUAL,True
1746536642.631842,MANUAL,True
1746536643.6221814,MANUAL,True
1746536644.6220918,MANUAL,True
1746536645.6420732,MANUAL,True
1746536646.6255658,MANUAL,True
1746536647.6226058,MANUAL,True
1746536648.6242297,MANUAL,True
1746536649.6434164,MANUAL,True
1746536650.6227562,MANUAL,True
1746536651.623815,MANUAL,True
1746536652.6232665,MANUAL,True
1746536653.6221585,MANUAL,True
1746536654.6352363,MANUAL,True
1746536655.624369,MANUAL,True
1746536656.6219544,MANUAL,True
1746536657.6235917,MANUAL,True
1746536658.6352875,MANUAL,True
1746536659.6232214,MANUAL,True
1746536660.62341,MANUAL,True
1746536661.6233482,MANUAL,True
1746536662.6244955,MANUAL,True
1746536663.6315155,MANUAL,True
1746536664.6237164,MANUAL,True
1746536665.6225853,MANUAL,True
1746536666.6514237,MANUAL,True
1746536667.6221204,MANUAL,True
1746536668.6262562,MANUAL,True
1746536669.622216,MANUAL,True
1746536670.6234,MANUAL,True
1746536671.6235688,MANUAL,True
1746536672.6220777,MANUAL,True
1746536673.6240504,MANUAL,True
1746536674.6287298,MANUAL,True
1746536675.624102,MANUAL,True
1746536676.6219933,MANUAL,True
1746536677.6219456,MANUAL,True
1746536678.6574063,MANUAL,True
1746536679.6223297,MANUAL,True
1746536680.6300435,MANUAL,True
1746536681.6220636,MANUAL,True
1746536682.6322193,MANUAL,True
1746536683.6224866,MANUAL,True
1746536684.6219618,MANUAL,True
1746536685.6349993,MANUAL,True
1746536686.6362936,MANUAL,True
1746536687.6243043,MANUAL,True
1746536688.622113,MANUAL,True
1746536689.6219761,MANUAL,True
1746536690.663433,MANUAL,True
1746536691.633023,MANUAL,True
1746536692.6220093,MANUAL,True
1746536693.6279292,MANUAL,True
1746536694.6427088,MANUAL,True
1746536695.6257024,MANUAL,True
1746536696.6226954,MANUAL,True
1746536697.6240854,MANUAL,True
1746536698.6227582,MANUAL,True
1746536699.6240735,MANUAL,True
1746536700.623972,MANUAL,True
1746536701.6241298,MANUAL,True
1746536702.6238513,MANUAL,True
1746536703.6417751,MANUAL,True
1746536704.623769,MANUAL,True
1746536705.6215823,MANUAL,True
1746536706.621608,MANUAL,True
1746536707.6304712,MANUAL,True
1746536708.6237688,MANUAL,True
1746536709.6226494,MANUAL,True
1746536710.6218412,MANUAL,True
1746536711.6237185,MANUAL,True
1746536712.6318274,MANUAL,True
1746536713.6217608,MANUAL,True
1746536714.6229184,MANUAL,True
1746536715.6553047,MANUAL,True
1746536716.6249833,MANUAL,True
1746536717.6575592,MANUAL,True
1746536718.6238072,MANUAL,True
1746536719.6236854,MANUAL,True
1746536720.6228862,MANUAL,True
1746536721.6212907,MANUAL,True
1746536722.625369,MANUAL,True
1746536723.6261413,MANUAL,True
1746536724.6223786,MANUAL,True
1746536725.6211617,MANUAL,True
1746536726.6211672,MANUAL,True
1746536727.6595292,MANUAL,True
1746536728.628934,MANUAL,True
1746536729.6221707,MANUAL,True
1746536730.6210918,MANUAL,True
1746536731.6352746,MANUAL,True
1746536732.6226459,MANUAL,True
1746536733.6235862,MANUAL,True
1746536734.6307852,MANUAL,True
1746536735.6384892,MANUAL,True
1746536736.6212738,MANUAL,True
1746536737.6210542,MANUAL,True
1746536738.623185,MANUAL,True
1746536739.6583564,MANUAL,True
1746536740.6377792,MANUAL,True
1746536741.622031,MANUAL,True
1746536742.6222694,MANUAL,True
1746536743.6210425,MANUAL,True
1746536744.6281636,MANUAL,True
1746536745.6221414,MANUAL,True
1746536746.6207411,MANUAL,True
1746536747.6227727,MANUAL,True
1746536748.6218867,MANUAL,True
1746536749.6262834,MANUAL,True
1746536750.6232796,MANUAL,True
1746536751.6226566,MANUAL,True
1746536752.6419332,MANUAL,True
1746536753.6218042,MANUAL,True
1746536754.6228683,MANUAL,True
1746536755.622663,MANUAL,True
1746536756.6216927,MANUAL,True
1746536757.6219049,MANUAL,True
1746536758.6204047,MANUAL,True
1746536759.6226683,MANUAL,True
1746536760.6231995,MANUAL,True
1746536761.6272182,MANUAL,True
1746536762.6226404,MANUAL,True
1746536763.6225867,MANUAL,True
1746536764.6549428,MANUAL,True
1746536765.6258125,MANUAL,True
1746536766.6325977,MANUAL,True
1746536767.62016,MANUAL,True
1746536768.6262875,MANUAL,True
1746536769.6212747,MANUAL,True
1746536770.6201684,MANUAL,True
1746536771.6283658,MANUAL,True
1746536772.6293583,MANUAL,True
1746536773.620145,MANUAL,True
1746536774.6215324,MANUAL,True
1746536775.6200385,MANUAL,True
1746536776.660606,MANUAL,True
1746536777.624593,MANUAL,True
1746536778.622129,MANUAL,True
1746536779.6198742,MANUAL,True
1746536780.6350212,MANUAL,True
1746536781.621093,MANUAL,True
1746536782.624404,MANUAL,True
1746536783.6202512,MANUAL,True
1746536784.640052,MANUAL,True
1746536785.6199172,MANUAL,True
1746536786.6210103,MANUAL,False
1746536787.6208866,MANUAL,False
1746536788.6469328,MANUAL,False
1746536789.6385646,MANUAL,False
1746536790.6198378,MANUAL,False
1746536791.6209843,MANUAL,False
1746536792.6198618,MANUAL,False
1746536793.6295197,MANUAL,False
1746536794.62087,MANUAL,False
1746536795.619799,MANUAL,False
1746536796.6208024,MANUAL,False
1746536797.6200242,MANUAL,False
1746536798.6274183,MANUAL,False
1746536799.620499,MANUAL,False
1746536800.620735,MANUAL,False
1746536801.6422236,MANUAL,False
1746536802.620702,MANUAL,False
1746536803.6223006,MANUAL,False
1746536804.6215591,MANUAL,False
1746536805.6215289,MANUAL,False
1746536806.6213012,MANUAL,False
1746536807.6214125,MANUAL,False
1746536808.6221924,MANUAL,False
1746536809.623925,MANUAL,False
