timestamp,raw_ax,raw_ay,raw_az
1746534976.9871747,-2.8439877033233643,-5.122960090637206,7.850297451019288
1746534977.083147,-2.8504576683044434,-5.13286542892456,7.854271411895753
1746534977.1792386,-2.8427600860595703,-5.147246837615966,7.843692302703858
1746534977.2737908,-2.858640193939209,-5.126234531402587,7.844542026519776
1746534977.3774009,-2.8345699310302734,-5.129453659057616,7.839666366577149
1746534977.4900384,-2.849402904510498,-5.115846157073974,7.852644443511964
1746534977.565008,-2.854922294616699,-5.141155242919921,7.8472914695739755
1746534977.6608193,-2.848977565765381,-5.159737586975097,7.837017059326173
1746534977.7571127,-2.8509371280670166,-5.120754718780517,7.855241775512696
1746534977.8512177,-2.8426167964935303,-5.109479427337646,7.866668224334718
1746534977.9487453,-2.8497707843780518,-5.114735603332519,7.862588405609132
1746534978.0456047,-2.8338546752929688,-5.1333532333374015,7.854332923889161
1746534978.1416037,-2.8371729850769043,-5.117626190185546,7.859488964080811
1746534978.2379086,-2.8533294200897217,-5.099628448486327,7.863059043884278
1746534978.3354611,-2.8497040271759033,-5.154751777648925,7.841530323028565
1746534978.4534562,-2.8530874252319336,-5.157917022705077,7.836503982543946
1746534978.5277827,-2.8545596599578857,-5.150892734527587,7.84424114227295
1746534978.624312,-2.8440165519714355,-5.148488521575927,7.842743396759034
1746534978.7202015,-2.844630241394043,-5.130836963653564,7.8495874404907235
1746534978.8161993,-2.8420305252075195,-5.119378089904784,7.855853080749513
1746534978.93381,-2.8545098304748535,-5.11787986755371,7.8522424697875985
1746534979.0086615,-2.850395441055298,-5.125295162200927,7.84780502319336
1746534979.1046066,-2.849940538406372,-5.129205703735351,7.86960792541504
1746534979.2016616,-2.8370559215545654,-5.122268676757812,7.8447003364563
1746534979.2949424,-2.845102310180664,-5.121812343597411,7.860491275787354
1746534979.391745,-2.8459737300872803,-5.139148712158202,7.839380741119386
1746534979.4902124,-2.8453686237335205,-5.123225688934325,7.845213413238526
1746534979.5867145,-2.8370862007141113,-5.130620002746581,7.851771831512452
1746534979.6831744,-2.845205545425415,-5.127612590789794,7.860790252685548
1746534979.7791922,-2.841330051422119,-5.136706352233886,7.848369598388673
1746534979.8967712,-2.860126256942749,-5.116746425628661,7.856114864349366
1746534979.9713712,-2.840045928955078,-5.132640361785888,7.851494312286378
1746534980.0679467,-2.839357376098633,-5.12167739868164,7.850744247436524
