timestamp,vx,vy,vz
1746612970.5730002,-0.006481958553195,-0.0048837424255907536,-0.012749685905873775
1746612971.1889272,-0.0056872121058404446,-0.0051790266297757626,-0.012893673032522202
1746612971.7667062,-0.005874316208064556,-0.0056462157517671585,-0.012794802896678448
1746612972.3415792,-0.005973895080387592,-0.005173319019377232,-0.012805689126253128
1746612972.9699383,-0.0056080385111272335,-0.0056462823413312435,-0.012658528052270412
1746612973.9966815,-0.004977403208613396,-0.005385417956858873,-0.012693967670202255
1746612974.5914981,-0.005725376773625612,-0.005358485504984856,-0.012944579124450684
1746612976.2354186,-0.005565605126321316,-0.00406184745952487,-0.012914372608065605
1746612976.7668796,-0.006087446119636297,-0.004429533611983061,-0.012672626413404942
1746612977.419095,-0.006117334123700857,-0.0044735753908753395,-0.012410707771778107
1746612977.46952,-0.006541353650391102,-0.00591626763343811,-0.012608073651790619
1746612977.5402203,-0.005892650689929724,-0.006356900557875633,-0.012263329699635506
1746612977.5841908,-0.006634592544287443,-0.006910565309226513,-0.012027636170387268
1746612977.6230927,-0.005654442589730024,-0.007002190221101046,-0.011178906075656414
1746612977.6781065,-0.005552979651838541,-0.00608763936907053,-0.009859398938715458
1746612977.7311847,-0.004484270699322224,-0.0065070949494838715,-0.010423602536320686
1746612977.784326,-0.004958301782608032,-0.0058753094635903835,-0.010196821764111519
1746612977.8240259,-0.004845608025789261,-0.007044224534183741,-0.009831287898123264
1746612977.869776,-0.0044209775514900684,-0.006344969384372234,-0.010341593995690346
1746612977.9151878,-0.0060225967317819595,-0.003911146428436041,-0.011630231514573097
1746612977.9560146,-0.003539038123562932,-0.0037091420963406563,-0.01186632551252842
1746612978.002264,-0.003985825460404158,-0.004629894159734249,-0.012790967710316181
1746612978.0469804,-0.002898910315707326,-0.005015941336750984,-0.013411778956651688
1746612978.0942407,-0.003308311803266406,-0.0030135817360132933,-0.013634450733661652
1746612978.1699362,-0.002602712484076619,-0.005108245648443699,-0.013269205577671528
1746612978.2670653,-0.0036583817563951015,-0.0059643955901265144,-0.013338633812963963
1746612978.3286562,-0.003861276665702462,-0.005200567655265331,-0.014421410858631134
1746612978.3829336,-0.003404637100175023,-0.005227111745625734,-0.013252717442810535
1746612978.4181886,-0.0035389638505876064,-0.005080319009721279,-0.012995800003409386
1746612978.4569185,-0.0029121311381459236,-0.005507441237568855,-0.012837404385209084
1746612978.5018926,-0.0040352558717131615,-0.005005368031561375,-0.012561998330056667
1746612978.5383084,-0.0033279203344136477,-0.005174947902560234,-0.011810003779828548
1746612978.5779274,-0.0036736642941832542,-0.004549173638224602,-0.011643575504422188
1746612978.6142178,-0.003127492731437087,-0.0045742434449493885,-0.011057176627218723
1746612978.6629024,-0.003174819052219391,-0.00425600353628397,-0.010766123421490192
1746612978.699879,-0.0034216439817100763,-0.003957662731409073,-0.010295835323631763
1746612978.7390325,-0.003549369750544429,-0.0037825785111635923,-0.010221327655017376
1746612978.7792063,-0.003806798020377755,-0.003546134103089571,-0.00981765054166317
1746612978.8177304,-0.0033387027215212584,-0.0035504756961017847,-0.009873016737401485
1746612978.85305,-0.004485927987843752,-0.0036549349315464497,-0.009510246105492115
1746612978.8990102,-0.003904031589627266,-0.0038340657483786345,-0.009249024093151093
1746612978.9830925,-0.003939117304980755,-0.004034333862364292,-0.00887924525886774
1746612979.1379952,-0.004409740678966045,-0.0038049158174544573,-0.009309683926403522
1746612979.3065684,-0.004420496989041567,-0.004316407255828381,-0.009033706970512867
1746612979.4684496,-0.004708216991275549,-0.0045849233865737915,-0.00902166124433279
1746612979.6339102,-0.0047803595662117004,-0.004720163065940142,-0.00892980583012104
1746612979.777464,-0.004867974203079939,-0.004823208786547184,-0.009419528767466545
1746612979.9436142,-0.005313880275934935,-0.004494390916079283,-0.009744147770106792
1746612980.0938926,-0.004774803761392832,-0.004380594938993454,-0.009798115119338036
1746612980.2657125,-0.004651796072721481,-0.004558087792247534,-0.009672033600509167
1746612980.4194233,-0.004409200046211481,-0.004610207863152027,-0.009361745789647102
1746612980.590776,-0.0038439566269516945,-0.004597422666847706,-0.009304404258728027
1746612980.7442665,-0.0032621154095977545,-0.004395045340061188,-0.009424195624887943
1746612980.891046,-0.0030835315119475126,-0.004613282158970833,-0.009192952886223793
1746612981.0691838,-0.0029995779041200876,-0.004374763462692499,-0.009225533343851566
1746612981.2081726,-0.003293631598353386,-0.004438162315636873,-0.009841862134635448
1746612981.3748147,-0.003596492111682892,-0.004224344156682491,-0.01005811057984829
1746612981.548063,-0.0032046721316874027,-0.004291066434234381,-0.010569415986537933
1746612981.6885817,-0.0034233559854328632,-0.004336576908826828,-0.010849795304238796
1746612981.8533971,-0.003455244703218341,-0.004478370305150747,-0.010701941326260567
1746612982.0232043,-0.003625107230618596,-0.004480157047510147,-0.010714732110500336
1746612982.1749086,-0.0035554002970457077,-0.004453163594007492,-0.010879402980208397
1746612982.3299348,-0.0032431918662041426,-0.004426565021276474,-0.010731966234743595
1746612982.4993737,-0.0037838539574295282,-0.004659193102270365,-0.010880551300942898
1746612982.6499815,-0.0038303278852254152,-0.004571607336401939,-0.010948709212243557
1746612982.811608,-0.0036566511262208223,-0.0056366631761193275,-0.01013877522200346
1746612982.9767098,-0.0031363405287265778,-0.003724917769432068,-0.011189429089426994
1746612983.1319225,-0.003879221621900797,-0.0048051620833575726,-0.010599702596664429
1746612983.2923765,-0.00302115804515779,-0.005168100353330374,-0.010601285845041275
1746612983.458491,-0.0033680445048958063,-0.004508397076278925,-0.010838024318218231
1746612983.610525,-0.0030705085955560207,-0.0054657189175486565,-0.01046976912766695
1746612983.7787185,-0.003176606958732009,-0.005309286992996931,-0.010349142365157604
1746612983.9509082,-0.0034569990821182728,-0.0038066913839429617,-0.01036178320646286
1746612984.0932024,-0.0033977895509451628,-0.003914153669029474,-0.01027181651443243
1746612984.3275242,-0.003532598726451397,-0.0024929442442953587,-0.010400583036243916
1746612984.4197824,-0.0036913694348186255,-0.003989465069025755,-0.009303946048021317
1746612984.5748699,-0.003079002723097801,-0.0023396352771669626,-0.009830491617321968
1746612984.7375772,-0.005359520670026541,-0.0020765860099345446,-0.010171310976147652
1746612984.8976147,-0.004057530779391527,-0.0036802850663661957,-0.009630170650780201
1746612985.0531542,-0.005501382518559694,-0.0024485457688570023,-0.009889688342809677
1746612985.2120345,-0.005348600912839174,-0.003483615582808852,-0.009667550213634968
1746612985.3859718,-0.004805620759725571,-0.004849205259233713,-0.009397214278578758
1746612985.5353754,-0.005273356102406979,-0.003813818097114563,-0.009684957563877106
1746612985.6920745,-0.00491078058257699,-0.003438591258600354,-0.009616691619157791
