timestamp,rel_alt
1746613986.6040924,4.231
1746613986.6947615,4.2
1746613986.7936506,4.21
1746613986.902023,4.229
1746613986.9851959,4.22
1746613987.0798066,4.213
1746613987.17571,4.247
1746613987.278713,4.244
1746613987.3832798,4.21
1746613987.4640188,4.207
1746613987.5630772,4.245
1746613987.6587787,4.28
1746613987.869969,4.291
1746613987.894877,4.316
1746613987.950692,4.348
1746613988.044958,4.36
1746613988.140751,4.372
1746613988.2379942,4.395
1746613988.340571,4.45
1746613988.4283864,4.485
1746613988.527505,4.515
1746613988.623962,4.551
1746613988.7197092,4.582
1746613988.8281825,4.588
1746613988.9116373,4.578
1746613989.0131102,4.564
1746613989.1036355,4.556
1746613989.2017972,4.562
1746613989.317618,4.585
1746613989.393808,4.608
1746613989.4933717,4.622
1746613989.5919845,4.651
1746613989.6847358,4.686
1746613989.7959845,4.707
1746613989.8803604,4.715
1746613989.982111,4.725
1746613990.0975354,4.726
1746613990.1741595,4.721
1746613990.2772071,4.724
1746613990.3587978,4.727
1746613990.4547567,4.73
1746613990.5507147,4.735
1746613990.6462798,4.742
1746613990.7528682,4.743
1746613990.8395624,4.741
1746613990.9528573,4.741
1746613991.0319483,4.745
1746613991.1312432,4.744
1746613991.2412465,4.737
1746613991.3211076,4.733
1746613991.4196577,4.733
1746613991.515152,4.744
1746613991.6107693,4.758
1746613991.7182782,4.768
1746613991.8061128,4.773
1746613991.9061427,4.765
1746613991.998509,4.755
1746613992.0958607,4.747
1746613992.202852,4.744
1746613992.2882445,4.745
1746613992.385864,4.75
1746613992.481389,4.751
1746613992.5770602,4.744
1746613992.6897147,4.727
1746613992.7721555,4.709
1746613992.8728576,4.756
1746613992.9735653,4.983
1746613993.325752,5.303
1746613993.374787,5.561
1746613993.4032345,5.803
1746613993.43263,6.141
1746613993.4704058,6.527
1746613993.5415034,6.925
1746613993.6481893,7.341
1746613993.7340796,7.682
1746613993.8318224,8.093
1746613993.9480262,8.501
1746613994.023357,8.932
1746613994.1298945,9.402
1746613994.2144287,9.774
1746613994.3155892,10.13
1746613994.407577,10.382
1746613994.5064566,10.568
1746613994.6147766,10.699
1746613994.699276,10.737
1746613994.7989695,10.7
1746613994.8927052,10.568
1746613994.9888237,10.379
1746613995.0955691,10.125
1746613995.1808689,9.759
1746613995.2805238,9.363
1746613995.3786669,8.837
1746613995.4695318,8.348
1746613995.5865402,7.871
1746613995.6650107,7.372
1746613995.7610211,6.95
1746613995.856216,6.55
1746613995.9641318,6.157
1746613996.0583193,5.859
1746613996.1441762,5.699
1746613996.246257,5.678
1746613996.339577,5.687
1746613996.4349463,5.661
1746613996.5404582,5.612
1746613996.6288319,5.59
1746613996.7254548,5.588
1746613996.8215544,5.601
1746613996.9176838,5.638
1746613997.0234995,5.699
1746613997.1108701,5.769
1746613997.2081645,5.837
1746613997.3030548,5.958
1746613997.3999069,6.061
